NAME                                  CPU %               MEM %
coco-host-handlers                    0.22%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.13%
coco-one-docker-cloudwatchlogs        1.26%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  87.26%              17.32%
coco-one-ros-dev                      238.98%             27.97%
streamer                              90.81%              1.39%
connectador                           12.00%              0.11%
driveui-streamer                      0.61%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.40%               0.08%
coco-file-uploader                    1.16%               0.49%
coco-host-handlers                    0.37%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.25%               0.13%
coco-one-docker-cloudwatchlogs        1.40%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  81.61%              17.32%
coco-one-ros-dev                      236.77%             27.97%
streamer                              90.20%              1.39%
connectador                           11.76%              0.11%
driveui-streamer                      0.69%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    3.45%               0.49%
coco-host-handlers                    0.23%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.35%               0.13%
coco-one-docker-cloudwatchlogs        1.07%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  92.94%              17.32%
coco-one-ros-dev                      202.83%             27.98%
streamer                              91.54%              1.39%
connectador                           12.85%              0.11%
driveui-streamer                      0.73%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    0.14%               0.49%
coco-host-handlers                    0.28%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.30%               0.13%
coco-one-docker-cloudwatchlogs        1.25%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  90.27%              17.32%
coco-one-ros-dev                      194.00%             27.98%
streamer                              90.69%              1.39%
connectador                           12.18%              0.11%
driveui-streamer                      0.73%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.29%               0.08%
coco-file-uploader                    3.73%               0.49%
coco-host-handlers                    0.52%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.23%               0.13%
coco-one-docker-cloudwatchlogs        29.35%              0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  88.07%              17.32%
coco-one-ros-dev                      196.83%             27.98%
streamer                              89.63%              1.39%
connectador                           11.68%              0.11%
driveui-streamer                      0.70%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    4.42%               0.49%
coco-host-handlers                    0.29%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.13%
coco-one-docker-cloudwatchlogs        1.23%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  85.57%              17.32%
coco-one-ros-dev                      202.01%             27.98%
streamer                              87.89%              1.39%
connectador                           11.57%              0.11%
driveui-streamer                      0.70%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    4.85%               0.49%
coco-host-handlers                    0.14%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.13%
coco-one-docker-cloudwatchlogs        1.18%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  91.90%              17.32%
coco-one-ros-dev                      230.09%             27.95%
streamer                              91.31%              1.39%
connectador                           11.74%              0.11%
driveui-streamer                      0.76%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.26%               0.08%
coco-file-uploader                    2.48%               0.49%
coco-host-handlers                    0.25%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.33%               0.13%
coco-one-docker-cloudwatchlogs        1.31%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  83.57%              17.32%
coco-one-ros-dev                      231.36%             27.96%
streamer                              90.51%              1.39%
connectador                           12.09%              0.11%
driveui-streamer                      0.52%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.06%               0.08%
coco-file-uploader                    2.61%               0.49%
coco-host-handlers                    0.24%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.31%               0.13%
coco-one-docker-cloudwatchlogs        1.09%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  77.69%              17.32%
coco-one-ros-dev                      200.62%             27.96%
streamer                              87.03%              1.39%
connectador                           11.30%              0.11%
driveui-streamer                      0.42%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    5.43%               0.49%
coco-host-handlers                    0.30%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.28%               0.13%
coco-one-docker-cloudwatchlogs        1.36%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  86.76%              17.32%
coco-one-ros-dev                      199.45%             27.96%
streamer                              92.14%              1.39%
connectador                           11.83%              0.11%
driveui-streamer                      0.45%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.39%               0.08%
coco-file-uploader                    3.59%               0.49%
coco-host-handlers                    0.23%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.33%               0.13%
coco-one-docker-cloudwatchlogs        1.24%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  89.78%              17.32%
coco-one-ros-dev                      190.59%             27.97%
streamer                              90.72%              1.39%
connectador                           13.51%              0.11%
driveui-streamer                      0.54%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.03%               0.08%
coco-file-uploader                    3.87%               0.49%
coco-host-handlers                    0.31%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.31%               0.13%
coco-one-docker-cloudwatchlogs        1.28%               0.39%
