NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.65%               2.61%
streamer                              91.37%              2.66%
connectador                           15.01%              0.30%
driveui-streamer                      0.64%               0.37%
gateway-streamer                      0.05%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      170.41%             26.72%
coco-host-handlers                    0.38%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.28%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.16%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.52%               2.61%
streamer                              96.99%              2.66%
connectador                           11.37%              0.30%
driveui-streamer                      0.81%               0.37%
gateway-streamer                      0.10%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      267.04%             26.72%
coco-host-handlers                    8.21%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.31%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.07%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.47%               2.61%
streamer                              92.20%              2.66%
connectador                           11.43%              0.30%
driveui-streamer                      0.61%               0.37%
gateway-streamer                      0.03%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      196.69%             26.72%
coco-host-handlers                    0.33%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.24%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.20%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  6.54%               2.61%
streamer                              88.60%              2.66%
connectador                           14.31%              0.30%
driveui-streamer                      0.58%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      165.45%             26.71%
coco-host-handlers                    0.33%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.29%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        0.93%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.01%               2.61%
streamer                              88.70%              2.66%
connectador                           11.57%              0.30%
driveui-streamer                      0.61%               0.37%
gateway-streamer                      0.03%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      174.47%             26.72%
coco-host-handlers                    0.46%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.28%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.24%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.25%               2.61%
streamer                              90.62%              2.66%
connectador                           11.40%              0.30%
driveui-streamer                      0.70%               0.37%
gateway-streamer                      0.03%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      195.27%             26.72%
coco-host-handlers                    0.35%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.31%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.26%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.23%               2.61%
streamer                              92.77%              2.66%
connectador                           11.71%              0.31%
driveui-streamer                      0.74%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      180.61%             26.71%
coco-host-handlers                    0.27%               0.40%
