NAME                                  CPU %               MEM %
driveui-streamer                      0.39%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    5.54%               0.49%
coco-host-handlers                    0.29%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.30%               0.13%
coco-one-docker-cloudwatchlogs        1.09%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  83.26%              17.32%
coco-one-ros-dev                      122.59%             28.05%
streamer                              52.76%              1.39%
connectador                           2.51%               0.11%
driveui-streamer                      0.48%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.25%               0.08%
coco-file-uploader                    3.16%               0.49%
coco-host-handlers                    0.25%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.31%               0.13%
coco-one-docker-cloudwatchlogs        1.23%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  69.15%              17.32%
coco-one-ros-dev                      118.83%             28.05%
streamer                              50.29%              1.39%
connectador                           5.38%               0.11%
driveui-streamer                      0.42%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    3.38%               0.49%
coco-host-handlers                    0.58%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.24%               0.13%
coco-one-docker-cloudwatchlogs        0.92%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  85.10%              17.32%
coco-one-ros-dev                      117.09%             28.06%
streamer                              50.61%              1.39%
connectador                           2.79%               0.11%
driveui-streamer                      0.47%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.03%               0.08%
coco-file-uploader                    0.21%               0.49%
coco-host-handlers                    0.23%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.31%               0.13%
coco-one-docker-cloudwatchlogs        0.92%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  75.93%              17.32%
coco-one-ros-dev                      200.61%             28.05%
streamer                              52.84%              1.39%
connectador                           2.64%               0.11%
driveui-streamer                      0.45%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.24%               0.08%
coco-file-uploader                    2.68%               0.49%
coco-host-handlers                    0.28%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.13%
coco-one-docker-cloudwatchlogs        1.24%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  77.23%              17.32%
coco-one-ros-dev                      124.60%             28.05%
streamer                              50.96%              1.39%
connectador                           5.01%               0.11%
driveui-streamer                      0.48%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    6.73%               0.49%
coco-host-handlers                    0.24%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.13%
coco-one-docker-cloudwatchlogs        0.94%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  80.82%              17.32%
coco-one-ros-dev                      117.21%             28.05%
streamer                              51.24%              1.39%
connectador                           2.59%               0.11%
driveui-streamer                      0.40%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    4.96%               0.49%
coco-host-handlers                    0.23%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.33%               0.13%
coco-one-docker-cloudwatchlogs        1.03%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  78.10%              17.32%
coco-one-ros-dev                      121.39%             28.05%
streamer                              50.89%              1.39%
connectador                           3.89%               0.11%
driveui-streamer                      0.45%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    3.87%               0.49%
coco-host-handlers                    0.24%               0.45%
